City,Country,lat(deg),lon(deg),Date,temp(f),humidity(%),cloudcover(%),wind(mph)
Mandera,KE,3.94,41.87,1579628068,88.66,16,40,10.67
Bandar-e Anzali,IR,37.47,49.46,1579628068,42.8,100,90,6.93
Port Hueneme,US,34.15,-119.2,1579628068,59.0,87,75,3.24
Kinablangan,PH,7.69,126.55,1579628069,69.01,87,28,6.22
Tuatapere,NZ,-46.13,167.68,1579628069,57.99,95,100,3.0
Tecuala,MX,22.4,-105.46,1579627978,88.84,42,24,3.11
Isfana,KG,39.84,69.53,1579628070,33.8,97,75,6.71
Nangong,CN,37.36,115.37,1579628070,29.07,85,93,1.32
Balsas,BR,-7.53,-46.04,1579628070,86.05,66,83,8.25
Fountain Hills,US,33.61,-111.72,1579627863,55.99,81,90,4.7
Tarrega,ES,41.65,1.14,1579628071,55.0,76,40,38.03
Skotterud,NO,59.98,12.13,1579628071,43.0,52,99,10.29
Cedar City,US,37.68,-113.06,1579627869,37.0,99,90,5.03
Rochegda,RU,62.8,43.25,1579628071,30.07,89,100,15.79
Marzuq,YE,14.4,46.47,1579628072,59.38,86,0,4.32
Zaragoza,ES,41.66,-0.88,1579627864,50.0,100,75,9.17
Bermejo,AR,-32.88,-68.8,1579628072,87.8,45,20,9.17
Calama,CL,-22.47,-68.93,1579628064,73.4,43,20,20.8
Spanish Town,JM,17.99,-76.96,1579628073,86.0,62,20,6.93
Amarpur,IN,25.03,86.9,1579628073,56.16,56,37,2.95
Port Hawkesbury,CA,45.62,-61.35,1579628042,19.0,66,90,12.75
Sosnogorsk,RU,63.6,53.88,1579627895,24.71,94,100,11.99
Camacha,PT,33.08,-16.33,1579627937,60.8,59,75,11.41
Inirida,CO,3.87,-67.92,1579628074,88.72,63,69,2.62
Coquimbo,CL,-29.95,-71.34,1579628075,69.8,68,40,12.75
Muros,ES,42.78,-9.06,1579628075,54.0,75,40,17.22
Bogo,PH,11.05,124.01,1579628076,75.99,88,89,12.06
Minab,IR,27.15,57.08,1579628076,62.6,67,59,6.93
Santa Ana,US,33.75,-117.87,1579627780,60.01,82,75,3.36
Khovd,MN,48.01,91.64,1579628077,6.33,53,100,8.12
Fairbanks,US,64.84,-147.72,1579627807,-14.01,75,40,1.66
Abha,SA,18.22,42.51,1579628077,55.4,81,40,6.93
Lakes Entrance,AU,-37.88,147.98,1579628078,57.99,91,0,13.6
Moose Factory,CA,51.26,-80.61,1579628078,21.2,67,90,12.75
Poya,NC,-21.35,165.15,1579628078,75.42,71,0,8.59
Bukachacha,RU,52.98,116.92,1579628078,-16.92,88,0,2.13
Gazojak,TM,41.19,61.4,1579628079,29.61,66,35,5.57
Kingisepp,RU,59.37,28.61,1579628079,36.1,69,17,15.26
Pangody,RU,65.85,74.49,1579628080,-5.87,94,100,13.98
Belmonte,BR,-15.86,-38.88,1579628080,86.0,74,75,13.87
Port Macquarie,AU,-31.43,152.92,1579627841,75.99,83,90,4.7
At-Bashi,KG,41.17,75.81,1579628080,-1.39,61,100,3.76
Quatre Cocos,MU,-20.21,57.76,1579628081,78.8,88,75,1.12
Comodoro Rivadavia,AR,-45.87,-67.5,1579627802,82.4,39,20,8.05
Gweru,ZW,-19.45,29.82,1579628081,60.46,88,47,7.87
Timbiqui,CO,2.77,-77.67,1579628081,77.4,91,100,3.74
Labytnangi,RU,66.66,66.42,1579628082,2.32,96,100,7.38
Kunduz,AF,36.73,68.86,1579628082,33.06,96,100,3.44
Laramie,US,41.31,-105.59,1579628005,43.0,59,90,11.41
Upata,VE,8.01,-62.4,1579628083,86.14,49,100,7.25
Mirny,RU,62.54,113.96,1579628083,-18.4,75,73,2.24
Ghanzi,BW,-21.57,21.78,1579628084,85.87,32,61,6.6
Port Angeles,US,48.12,-123.43,1579627893,48.99,81,75,4.7
Maturin,VE,9.75,-63.18,1579628084,87.62,52,65,6.42
La Union,PE,-5.4,-80.75,1579628084,91.63,39,33,9.24
Miraflores,MX,19.22,-98.81,1579628085,66.2,71,90,6.93
Paratinga,BR,-12.69,-43.18,1579628085,87.8,48,51,5.7
Kropotkin,RU,45.44,40.58,1579628086,30.58,84,99,14.76
Olenino,RU,56.21,33.49,1579628086,38.26,79,100,17.92
Rundu,NA,-17.93,19.77,1579628087,82.4,61,81,2.24
Mareeba,AU,-17.0,145.43,1579628087,81.0,94,90,1.43
Tocopilla,CL,-22.09,-70.2,1579628087,77.59,24,3,14.45
Dhidhdhoo,MV,6.88,73.1,1579628088,82.96,77,35,13.44
Pontianak,ID,-0.03,109.33,1579628088,75.07,94,20,1.25
Khanbari,NP,27.37,87.2,1579628088,32.92,51,17,5.48
Brezno,SK,48.8,19.64,1579628089,28.99,100,90,1.12
Bathsheba,BB,13.22,-59.52,1579627883,84.2,62,20,19.46
Damietta,EG,31.42,31.81,1579627812,51.8,93,40,25.28
Quesnel,CA,53.0,-122.5,1579628089,23.0,100,75,2.24
Bonavista,CA,48.65,-53.11,1579628090,21.0,88,25,8.01
Anjozorobe,MG,-18.4,47.87,1579628090,68.0,94,75,5.82
Phrae,TH,18.08,100.0,1579628090,80.01,61,0,0.63
Callaway,US,30.15,-85.57,1579628091,39.99,48,1,9.17
Castlemaine,AU,-37.07,144.22,1579628091,61.0,53,39,9.37
Mecca,SA,21.43,39.83,1579628091,63.97,63,0,8.79
Cabinda,AO,-5.55,12.2,1579628091,87.8,70,20,8.05
Tsalka,GE,41.59,44.09,1579628092,14.95,72,6,8.1
Caravelas,BR,-17.71,-39.25,1579628092,80.35,78,100,15.61
Tsimmerbude,RU,54.67,20.13,1579628092,42.8,93,90,22.37
Ballina,AU,-28.87,153.57,1579628093,78.8,94,66,6.93
Koygorodok,RU,60.45,51.0,1579628093,29.75,95,100,13.06
Progreso,MX,21.28,-89.67,1579628093,75.2,57,75,8.05
Saldanha,ZA,-33.01,17.94,1579628094,73.4,60,12,6.93
San Jose,US,37.34,-121.89,1579628040,57.99,76,75,12.75
Marsh Harbour,BS,26.54,-77.06,1579628095,70.23,62,1,9.82
Birao,CF,10.28,22.79,1579628095,69.37,18,36,9.53
Trinidad,BO,-14.83,-64.9,1579628096,91.4,66,40,17.22
Saint-Augustin,CA,51.23,-58.65,1579628096,1.65,73,0,12.3
Boyolangu,ID,-8.12,111.89,1579628096,75.67,89,51,1.12
Northam,GB,51.03,-4.22,1579628096,41.0,86,0,3.36
Sisak,HR,45.47,16.38,1579628097,35.01,85,0,1.12
Rincon,US,32.3,-81.24,1579627982,42.01,35,75,14.99
Arrondissement d'Ajaccio,FR,42.0,8.92,1579628097,53.6,71,100,5.82
Wattegama,LK,6.8,81.48,1579628098,73.45,92,18,4.9
Angouleme,FR,45.65,0.15,1579628098,48.0,75,76,12.75
Boyabat,TR,41.47,34.77,1579628098,25.47,79,47,3.36
Moron,AR,-34.65,-58.62,1579628099,84.99,88,90,3.36
Baykit,RU,61.67,96.37,1579628099,-28.05,96,80,2.24
Nova Vicosa,BR,-17.89,-39.37,1579628099,81.09,79,100,4.21
Luderitz,NA,-26.65,15.16,1579628099,75.2,60,25,9.17
Zhicheng,CN,30.3,111.5,1579628100,44.01,91,100,3.6
Kobayashi,JP,31.98,130.98,1579628100,41.0,80,17,1.77
Pochutla,MX,15.74,-96.47,1579628101,87.8,62,40,8.59
Doha,QA,25.29,51.53,1579628078,66.2,59,0,4.7
Soe,ID,-9.86,124.28,1579628102,75.34,80,99,4.05
Mogadouro,PT,41.34,-6.71,1579628102,41.9,70,35,25.57
Romans-sur-Isere,FR,45.05,5.06,1579628102,39.0,74,100,3.36
Bagrami,AF,34.49,69.27,1579628102,32.0,92,90,4.7
Port Augusta,AU,-32.5,137.77,1579628103,80.6,21,90,12.75
Resistencia,AR,-27.46,-58.98,1579628103,77.0,100,90,6.93
Bonnyville,CA,54.27,-110.73,1579628103,15.8,85,20,6.93
Tazovsky,RU,67.47,78.7,1579628104,-12.66,96,100,15.14
Cay,TR,38.59,31.03,1579628104,16.36,97,80,4.47
Martapura,ID,-3.42,114.85,1579628105,78.8,88,75,3.36
Tahta,EG,26.77,31.5,1579627863,60.8,36,0,16.11
Constitucion,CL,-35.33,-72.42,1579628106,71.67,44,0,6.26
Banjarmasin,ID,-3.32,114.59,1579627870,78.8,88,75,3.36
Lavrentiya,RU,65.58,-171.0,1579628106,0.63,96,100,10.27
Buluan,PH,6.72,124.8,1579628106,65.75,69,40,3.27
Acari,PE,-15.43,-74.62,1579628107,70.09,85,100,5.97
Atasu,KZ,48.68,71.64,1579628107,11.32,93,100,14.65
Nijar,ES,36.97,-2.21,1579627848,53.6,71,75,3.67
Stratoni,GR,40.51,23.82,1579628108,41.0,69,1,1.99
Leeton,AU,-34.57,146.4,1579628108,64.4,77,0,5.82
Sakaiminato,JP,35.55,133.23,1579628109,35.6,93,75,3.36
Kamenka,RU,51.32,42.77,1579628109,33.01,93,100,7.0
Maridi,SS,4.92,29.47,1579628109,76.93,26,97,4.45
Nuevo Progreso,MX,23.17,-97.95,1579628109,68.0,72,53,1.99
Nha Trang,VN,12.25,109.18,1579628110,77.0,83,20,12.75
Vinh,VN,18.67,105.67,1579628110,66.2,95,12,1.41
Cuajinicuilapa,MX,16.47,-98.42,1579628110,97.5,26,0,2.42
Silver City,US,32.77,-108.28,1579628111,46.99,89,90,8.05
Aquiraz,BR,-3.9,-38.39,1579628111,87.8,55,20,10.29
Olafsvik,IS,64.89,-23.71,1579628112,38.07,94,96,12.21
Bodden Town,KY,19.28,-81.25,1579628112,82.4,74,40,9.17
Cabedelo,BR,-6.98,-34.83,1579628112,87.8,58,75,12.75
Tibati,CM,6.47,12.63,1579628113,81.27,20,50,9.01
Lyngseidet,NO,69.58,20.22,1579628113,32.0,94,75,25.28
Goderich,CA,43.75,-81.72,1579627825,30.0,65,100,3.0
Ilulissat,GL,69.22,-51.1,1579628113,15.8,47,75,5.82
Port Keats,AU,-14.25,129.55,1579628114,82.33,82,100,19.55
Arrondissement de Nevers,FR,46.92,3.33,1579628114,39.2,80,0,2.24
Morros,BR,-9.45,-46.3,1579628114,84.63,62,66,8.41
Maniitsoq,GL,65.42,-52.9,1579628115,22.57,73,100,8.19
Sicuani,PE,-14.27,-71.23,1579628115,48.06,67,100,6.49
Rudnogorsk,RU,57.26,103.75,1579628115,-0.54,93,100,8.23
Lampa,CL,-33.28,-70.9,1579628116,93.99,31,0,14.99
Rafai,CF,4.95,23.92,1579628116,78.98,28,79,3.6
Monrovia,LR,6.3,-10.8,1579628116,89.6,66,75,9.17
Carauari,BR,-4.88,-66.9,1579628116,86.85,69,97,2.44
Natal,BR,-5.79,-35.21,1579627926,86.0,66,40,16.11
Rock Hill,US,34.92,-81.03,1579628117,36.0,37,1,13.87
Bay Roberts,CA,47.6,-53.26,1579628117,26.01,79,90,9.17
Chivay,PE,-15.64,-71.6,1579628117,47.57,67,100,4.29
Hwange,ZW,-18.37,26.5,1579628118,73.42,71,79,1.14
Semirom,IR,31.42,51.57,1579628118,15.78,82,0,4.43
Itoman,JP,26.12,127.67,1579628119,62.6,72,20,4.7
New Ulm,US,44.31,-94.46,1579628075,12.2,77,1,20.8
Nagato,JP,34.38,131.2,1579627964,44.6,81,75,6.71
Porto Real,BR,-22.42,-44.29,1579628120,75.67,77,76,6.11
Antalya,TR,36.77,30.72,1579628120,48.2,31,0,21.92
Marabu,MY,4.41,114.01,1579628120,78.8,100,75,3.36
Nashville,US,36.17,-86.78,1579627919,30.99,54,40,8.05
Camargo,MX,27.67,-105.17,1579628121,60.03,50,82,15.41
Safi,MA,32.3,-9.24,1579628122,51.84,79,67,4.99
Cacapava do Sul,BR,-30.51,-53.49,1579628122,86.34,53,76,3.33
Bubaque,GW,11.28,-15.83,1579628122,78.89,52,98,12.91
Launceston,AU,-41.45,147.17,1579628024,53.6,93,7,8.05
Fort Frances,CA,48.6,-93.4,1579628099,17.6,61,1,10.29
Rio Grande,BR,-32.03,-52.1,1579628087,86.0,66,75,17.22
Sioux Lookout,CA,50.1,-91.92,1579628123,14.0,72,75,14.99
Mwinilunga,ZM,-11.74,24.43,1579628045,64.74,97,100,2.77
Jalingo,NG,8.88,11.37,1579628124,82.18,17,57,4.68
Forsytheganj,BY,52.63,29.73,1579628124,37.18,86,100,18.9
Redlands,US,34.06,-117.18,1579627850,60.8,71,90,3.36
Waipawa,NZ,-41.41,175.52,1579628125,62.01,87,40,17.22
Houma,US,29.6,-90.72,1579628045,48.2,49,1,13.87
Iquitos,PE,-3.75,-73.25,1579627871,42.8,100,75,5.82
Paamiut,GL,61.99,-49.67,1579628126,25.27,91,100,17.25
Choya,RU,52.01,86.55,1579628126,14.95,95,100,2.15
Westport,US,41.14,-73.36,1579628105,32.0,30,1,10.29
Riberalta,BO,-10.98,-66.1,1579628127,91.4,59,75,13.87
Luanda,AO,-8.84,13.23,1579628107,83.52,76,99,11.43
Geraldton,AU,-28.77,114.6,1579628127,69.8,68,90,21.92
